area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;010150;003702;006;06;1;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;010150003702;01015000370200606;010150003702006061;2712;60,0076639280204;201912
1;010150;003702;006;07;1;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;010150003702;01015000370200607;010150003702006071;2712;60,0076639280204;201912
1;010150;005201;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;010150005201;01015000520101201;010150005201012011;2712;54,2382176416806;201912
1;010150;005201;012;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150005201;01015000520101202;010150005201012021;2712;54,2382176416806;201912
1;010150;005201;012;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;010150005201;01015000520101203;010150005201012031;2712;54,2382176416806;201912
1;010150;005201;012;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;010150005201;01015000520101204;010150005201012041;2712;54,2382176416806;201912
1;010150;005201;012;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150005201;01015000520101205;010150005201012051;2712;54,2382176416806;201912
1;010150;005201;012;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150005201;01015000520101206;010150005201012061;2712;54,2382176416806;201912
1;010150;005201;012;07;1;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150005201;01015000520101207;010150005201012071;2712;54,2382176416806;201912
1;010150;005402;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150005402;01015000540201201;010150005402012011;2712;162,684761418842;201912
1;010150;005402;012;03;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;3;3;3;010150005402;01015000540201203;010150005402012031;2712;162,684761418842;201912
1;010150;005402;012;04;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;010150005402;01015000540201204;010150005402012041;2712;162,684761418842;201912
1;010150;005402;012;05;1;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150005402;01015000540201205;010150005402012051;2712;162,684761418842;201912
1;010150;005402;012;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;3;3;3;3;010150005402;01015000540201206;010150005402012061;2712;162,684761418842;201912
1;010150;005402;012;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150005402;01015000540201207;010150005402012071;2712;162,684761418842;201912
1;010150;005402;012;08;1;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150005402;01015000540201208;010150005402012081;2712;162,684761418842;201912
1;010150;005701;006;01;1;2;2;2;2;3;2;2;2;1;2;1;2;3;2;3;2;2;2;2;3;3;3;3;010150005701;01015000570100601;010150005701006011;2712;141,406668353408;201912
1;010150;005701;006;02;1;2;2;2;2;3;1;2;2;1;2;1;2;1;1;3;2;2;2;2;2;2;3;3;010150005701;01015000570100602;010150005701006021;2712;141,406668353408;201912
1;010150;005701;006;04;1;2;2;1;2;4;1;2;2;1;2;1;2;3;1;3;2;2;2;2;2;2;2;2;010150005701;01015000570100604;010150005701006041;2712;141,406668353408;201912
1;010150;005701;006;05;1;3;2;2;2;4;2;2;2;1;2;3;2;3;2;3;3;2;2;2;3;3;3;2;010150005701;01015000570100605;010150005701006051;2712;141,406668353408;201912
1;010150;005701;006;07;1;2;2;1;2;4;2;4;2;1;2;1;2;3;1;1;3;2;2;2;2;2;2;2;010150005701;01015000570100607;010150005701006071;2712;141,406668353408;201912
1;010150;005701;006;08;1;2;2;1;2;2;2;2;2;2;2;2;2;1;2;3;1;2;2;2;2;2;3;3;010150005701;01015000570100608;010150005701006081;2712;141,406668353408;201912
1;010150;005701;006;09;1;2;2;2;2;4;3;4;2;1;2;3;2;3;3;3;2;2;2;2;2;2;3;3;010150005701;01015000570100609;010150005701006091;2712;141,406668353408;201912
1;010150;005902;012;01;1;2;1;2;2;3;1;2;2;1;2;2;1;2;1;2;2;2;2;1;2;1;3;1;010150005902;01015000590201201;010150005902012011;2713;106,909968328187;201912
1;010150;005902;012;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150005902;01015000590201202;010150005902012021;2713;106,909968328187;201912
1;010150;005902;012;03;1;3;2;1;2;4;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;010150005902;01015000590201203;010150005902012031;2713;106,909968328187;201912
1;010150;005902;012;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150005902;01015000590201204;010150005902012041;2713;106,909968328187;201912
1;010150;005902;012;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150005902;01015000590201205;010150005902012051;2713;106,909968328187;201912
1;010150;005902;012;06;1;3;3;2;2;1;3;1;2;2;2;1;2;3;2;2;2;2;2;2;3;2;3;2;010150005902;01015000590201206;010150005902012061;2713;106,909968328187;201912
1;010150;005902;012;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;3;3;010150005902;01015000590201207;010150005902012071;2713;106,909968328187;201912
1;010150;005903;012;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;010150005903;01015000590301201;010150005903012011;2713;245,554018094362;201912
1;010150;005903;012;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150005903;01015000590301202;010150005903012021;2713;245,554018094362;201912
1;010150;005903;012;03;1;3;3;1;1;3;1;2;2;1;2;3;3;2;2;2;2;2;2;2;3;2;3;2;010150005903;01015000590301203;010150005903012031;2713;245,554018094362;201912
1;010150;005903;012;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;010150005903;01015000590301204;010150005903012041;2713;245,554018094362;201912
1;010150;005903;012;05;1;3;1;1;2;4;1;4;2;1;2;3;3;2;3;2;3;2;2;2;2;2;2;2;010150005903;01015000590301205;010150005903012051;2713;245,554018094362;201912
1;010150;005903;012;06;1;3;1;2;1;3;1;2;1;1;1;3;3;2;3;2;3;2;2;2;2;2;3;2;010150005903;01015000590301206;010150005903012061;2713;245,554018094362;201912
1;010150;005903;012;07;1;2;2;1;2;4;1;2;2;1;1;2;1;2;2;2;3;2;2;1;3;2;3;2;010150005903;01015000590301207;010150005903012071;2713;245,554018094362;201912
1;010150;006401;006;01;1;3;3;1;2;3;1;3;1;1;1;3;3;3;3;2;3;2;2;2;3;2;2;3;010150006401;01015000640100601;010150006401006011;2713;271,845314104046;201912
1;010150;006401;006;02;1;2;3;1;1;3;2;2;2;2;2;3;3;3;3;2;3;2;2;2;2;2;2;2;010150006401;01015000640100602;010150006401006021;2713;271,845314104046;201912
1;010150;006401;006;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150006401;01015000640100603;010150006401006031;2713;271,845314104046;201912
1;010150;006401;006;04;1;2;3;1;1;4;1;3;1;1;2;3;2;2;2;2;2;2;2;2;3;2;3;2;010150006401;01015000640100604;010150006401006041;2713;271,845314104046;201912
1;010150;006401;006;05;1;3;2;1;2;3;1;3;1;1;1;3;3;3;3;2;3;2;2;2;3;2;3;2;010150006401;01015000640100605;010150006401006051;2713;271,845314104046;201912
1;010150;006401;006;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;010150006401;01015000640100606;010150006401006061;2713;271,845314104046;201912
1;010150;006401;006;07;1;3;2;1;2;3;2;2;2;1;1;3;3;2;3;2;2;2;2;2;3;2;3;2;010150006401;01015000640100607;010150006401006071;2713;271,845314104046;201912
1;010150;006603;012;01;1;2;2;1;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150006603;01015000660301201;010150006603012011;2713;78,390099173344;201912
1;010150;006603;012;02;1;3;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150006603;01015000660301202;010150006603012021;2713;78,390099173344;201912
1;010150;006603;012;03;1;2;2;1;1;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150006603;01015000660301203;010150006603012031;2713;78,390099173344;201912
